cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
5003,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5004,D0,10,2014-05-15,2014-09-30,4.533974003572968
5004,D1,4,2008-03-31,2008-06-30,2.9897944516314503
5004,D2,2,2011-07-31,2011-08-31,1.0185014065997249
5004,D3,4,2011-09-30,2011-12-31,3.0226493357153124
5004,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
5005,D0,13,2019-02-28,2019-08-31,6.045298671430625
5005,D1,9,2012-05-31,2013-01-31,8.049446600546213
5005,D2,3,2013-02-28,2013-04-30,2.0041479291155877
5005,D3,10,2011-07-31,2012-04-30,9.002238238978213
5005,D4,1,2006-08-31,2006-08-31,0.0
5005,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
5006,D0,6,2009-01-31,2009-06-30,4.928232612579314
5006,D1,10,2012-07-31,2013-04-30,8.969383354894351
5006,D2,8,2022-04-30,2022-08-15,3.5154725969732437
5006,D3,9,2011-08-31,2012-04-30,7.983736832378488
5006,D4,1,2011-06-30,2011-06-30,0.0
5006,Sin sequia,52,2013-06-30,2015-11-30,29.010862646050228
5007,D0,22,2017-05-15,2018-03-31,10.513562906835869
5007,D1,11,2021-08-31,2022-01-31,5.0267972648309
5007,D2,10,2022-12-31,2023-05-31,4.9610874966631755
5007,D3,4,2012-01-31,2012-04-30,2.9569395675475882
5007,D4,3,2011-10-31,2011-12-31,2.0041479291155877
5007,Sin sequia,49,2013-09-30,2015-11-30,25.988213310334913
5008,D0,7,2020-06-15,2020-09-15,3.0226493357153124
5008,D1,8,2012-06-30,2013-01-31,7.06380007803035
5008,D2,10,2022-02-28,2022-07-15,4.501119119489107
5008,D3,3,2011-03-31,2011-05-31,2.0041479291155877
5008,D4,2,2011-10-31,2011-11-30,0.9856465225158627
5008,Sin sequia,67,2014-07-31,2017-04-30,32.98630362019754
5009,D0,11,2008-10-31,2009-08-31,9.987884761494076
5009,D1,14,2020-08-31,2021-03-15,6.43955728043697
5009,D2,14,2021-07-15,2022-01-31,6.5709768167724185
5009,D3,6,2012-01-31,2012-06-30,4.9610874966631755
5009,D4,2,2011-11-30,2011-12-31,1.0185014065997249
5009,Sin sequia,22,2003-10-31,2005-08-31,22.012772336187602
5010,D0,7,2008-12-31,2009-06-30,5.946734019179039
5010,D1,10,2012-07-31,2013-04-30,8.969383354894351
5010,D2,8,2022-04-30,2022-08-15,3.5154725969732437
5010,D3,5,2011-12-31,2012-04-30,3.975440974147313
5010,D4,2,2011-10-31,2011-11-30,0.9856465225158627
5010,Sin sequia,52,2013-06-30,2015-11-30,29.010862646050228
5011,D0,6,2012-11-30,2013-04-30,4.9610874966631755
5011,D1,8,2012-03-31,2012-10-31,7.030945193946487
5011,D2,7,2023-01-31,2023-05-15,3.4169079447216575
5011,D3,6,2011-09-30,2012-02-29,4.993942380747038
5011,Sin sequia,90,2013-05-31,2017-06-15,48.49380890778045
5012,D0,14,2017-02-28,2017-09-15,6.538121932688556
5012,D1,9,2012-04-30,2012-12-31,8.049446600546213
5012,D2,12,2022-09-15,2023-02-28,5.453910757921107
5012,D3,6,2006-01-31,2006-06-30,4.928232612579314
5012,D4,4,2011-09-30,2011-12-31,3.0226493357153124
5012,Sin sequia,21,2003-07-31,2005-05-31,22.012772336187602
5013,D0,4,2008-11-30,2009-02-28,2.9569395675475882
5013,D1,3,2009-04-30,2009-06-30,2.0041479291155877
5013,D2,12,2022-09-15,2023-02-28,5.453910757921107
5013,D3,5,2006-03-31,2006-07-31,4.008295858231175
5013,D4,4,2011-08-31,2011-11-30,2.9897944516314503
5013,Sin sequia,21,2003-07-31,2005-05-31,22.012772336187602
5014,D0,8,2017-05-31,2017-09-15,3.5154725969732437
5014,D1,5,2012-03-31,2012-07-31,4.008295858231175
5014,D2,15,2022-09-15,2023-04-30,7.4580586870366945
5014,D3,8,2022-03-15,2022-06-30,3.5154725969732437
5014,D4,3,2011-04-30,2011-06-30,2.0041479291155877
5014,Sin sequia,19,2003-07-31,2005-03-31,20.008624407072013
5015,D0,10,2021-09-30,2022-02-15,4.533974003572968
5015,D1,6,2012-05-31,2012-10-31,5.0267972648309
5015,D2,6,2023-01-31,2023-04-30,2.924084683463726
5015,D3,6,2022-02-28,2022-05-15,2.496971190373519
5015,D4,3,2011-09-30,2011-11-30,2.0041479291155877
5015,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
5016,D0,8,2012-10-31,2013-05-31,6.965235425778763
5016,D1,10,2020-11-30,2021-04-15,4.468264235405244
5016,D2,10,2022-02-28,2022-07-15,4.501119119489107
5016,D3,3,2011-03-31,2011-05-31,2.0041479291155877
5016,D4,4,2011-10-31,2012-01-31,3.0226493357153124
5016,Sin sequia,74,2014-04-15,2017-04-30,36.501776217170786
5017,D0,12,2008-09-30,2009-08-31,11.006386168093801
5017,D1,5,2008-01-31,2008-05-31,3.975440974147313
5017,D2,6,2003-01-31,2003-06-30,4.928232612579314
5017,D3,4,2012-06-30,2012-09-30,3.0226493357153124
5017,D4,3,2011-10-31,2011-12-31,2.0041479291155877
5017,Sin sequia,26,2003-09-30,2005-11-30,26.021068194418778
5018,D0,7,2008-12-31,2009-06-30,5.946734019179039
5018,D1,7,2012-07-31,2013-01-31,6.045298671430625
5018,D2,8,2022-04-30,2022-08-15,3.5154725969732437
5018,D3,6,2011-11-30,2012-04-30,4.993942380747038
5018,D4,1,2006-08-31,2006-08-31,0.0
5018,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
5019,D0,4,2013-06-30,2013-09-30,3.0226493357153124
5019,D1,9,2012-09-30,2013-05-31,7.983736832378488
5019,D2,14,2019-10-31,2020-05-15,6.472412164520832
5019,D3,11,2022-03-15,2022-08-15,5.0267972648309
5019,D4,2,2006-07-31,2006-08-31,1.0185014065997249
5019,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5020,D0,10,2009-01-31,2009-10-31,8.969383354894351
5020,D1,10,2019-09-15,2020-01-31,4.533974003572968
5020,D2,3,2010-11-30,2011-01-31,2.0370028131994498
5020,D3,9,2022-02-28,2022-06-30,4.008295858231175
5020,D4,4,2011-09-30,2011-12-31,3.0226493357153124
5020,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5021,D0,7,2003-01-31,2003-07-31,5.946734019179039
5021,D1,15,2020-11-30,2021-06-30,6.965235425778763
5021,D2,10,2022-02-28,2022-07-15,4.501119119489107
5021,D3,3,2011-03-31,2011-05-31,2.0041479291155877
5021,D4,4,2011-10-31,2012-01-31,3.0226493357153124
5021,Sin sequia,74,2014-04-15,2017-04-30,36.501776217170786
5022,D0,9,2017-05-15,2017-09-15,4.041150742315037
5022,D1,4,2012-09-30,2012-12-31,3.0226493357153124
5022,D2,15,2022-09-15,2023-04-30,7.4580586870366945
5022,D3,9,2022-04-30,2022-08-31,4.041150742315037
5022,D4,2,2006-07-31,2006-08-31,1.0185014065997249
5022,Sin sequia,21,2003-07-31,2005-05-31,22.012772336187602
5023,D0,12,2017-07-31,2018-01-15,5.519620526088832
5023,D1,8,2018-01-31,2018-05-15,3.4169079447216575
5023,D2,15,2021-01-15,2021-08-15,6.965235425778763
5023,D3,7,2022-03-31,2022-06-30,2.9897944516314503
5023,D4,4,2011-10-31,2012-01-31,3.0226493357153124
5023,Sin sequia,64,2012-11-30,2016-02-15,38.50592414628637
5024,D0,12,2008-09-30,2009-08-31,11.006386168093801
5024,D1,5,2008-02-29,2008-06-30,4.008295858231175
