system:index,01,02,03,04,05,06,07,08,09,10,11,12,COUNTRY_NA,OBJECTID,Shape_Area,Shape_Le_1,Shape_Leng,date_year,.geo
44,1.04990874721345,0.9245604473445435,1.6484085166658378,1.9228620546500066,2.2529349951233093,2.2872820507160916,1.8811853497110944,1.0618468088430415,1.3840994605318997,1.8861200892009171,1.687316920503863,0.9609050811503415,Mexico,155,174.063486147,225.134598272,225.134598272,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.8203258798868528,1.4207612822157156,1.1951968064909977,0.7429967956582826,0.8542849928495319,-0.30866128701371787,-0.3964812987183932,-0.2518676230928983,-1.3068819052257226,-0.8781140027596825,-1.2280056700388127,-1.658382087636596,Mexico,155,174.063486147,225.134598272,225.134598272,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-1.9018992896347278,-2.2203030333271663,-2.2320659456956276,-2.3093083074706033,-1.6457419629444021,-1.7349795489281852,-1.4276032852114533,-0.579438381562834,0.21184919415568212,0.8785924487302579,0.8583199470135775,0.8157054702048044,Mexico,155,174.063486147,225.134598272,225.134598272,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1.257543794066155,1.119673011793972,0.9213677159615876,0.64245316940541,0.6107969883304821,0.7977498772513041,1.0428505077017654,1.135900690922737,1.009700849703548,0.3611395841908897,0.18660760288171815,-0.3946547464434154,Mexico,155,174.063486147,225.134598272,225.134598272,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,-0.9852273639309379,-1.4140946429439403,-1.5614702754040275,-1.4436528756068903,-1.5729964352197232,-1.5787325231332223,-0.3207090045376145,1.5278120225705698,1.994009039767463,1.9004917207539729,1.2921412863531294,0.32831109141809645,Mexico,155,174.063486147,225.134598272,225.134598272,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,-0.47704995920900084,-1.051378561600511,-1.165965670439572,-1.54163518288795,-1.1996254765635508,-0.7330423408452499,-1.7360604074653996,-2.445928359375316,-2.396755769736665,-1.837109046083934,-1.729449851414016,-1.455478634603991,Mexico,155,174.063486147,225.134598272,225.134598272,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,-0.9266765401781781,0.14018366281174016,-0.05475492252998034,0.17968823435440542,-0.1185971039056286,-0.3470776918439035,1.6362001789591079,1.6384234707562997,2.0604687008237286,0.8876363614163084,-0.1487379625852995,-0.9951238018353482,Mexico,155,174.063486147,225.134598272,225.134598272,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,-1.5993385733505756,-2.01408390140562,-2.3049000841649456,-2.5715037104820007,-3.047066544469779,-3.129915801007575,-2.5467206635701003,-2.3520181717382953,-2.667137865904817,-2.585328909762231,-2.2389649942552805,-2.2675292344621982,Mexico,155,174.063486147,225.134598272,225.134598272,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,-2.448344204019029,-1.8004360962024188,-1.7178410153706425,-1.6292690920697936,-1.629411132643506,-1.782197901425812,-1.5886667812556066,-1.5128372654008941,-1.5295176009460911,-1.7386417000551624,-1.796320787332418,-2.0252459529326,Mexico,155,174.063486147,225.134598272,225.134598272,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,-1.8975123216367382,-2.2027661228153885,-2.3486419297809173,-2.5033668110690503,-2.2203873692940492,-2.037654206450904,-0.6341385808332992,-0.6902583855186482,1.1318861815688195,1.7039426196704934,2.7094902393163025,3.002631215480963,Mexico,155,174.063486147,225.134598272,225.134598272,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2.4333689924854105,1.843044267489082,1.7943296970132547,1.359767255320346,1.6614731835677978,2.1376773003473817,1.5376811465906308,1.6519337586743015,2.82387248873934,3.099165218063758,3.387584544363801,3.0601453083933086,Mexico,155,174.063486147,225.134598272,225.134598272,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,3.026670548131929,2.8941885322934535,3.3742498479387577,3.303552669777322,3.3439283089687266,3.1077471197594324,2.2759287922146663,1.1123139947290637,0.44654474255568094,0.7298723636620662,1.0625739523233346,0.7676293952858781,Mexico,155,174.063486147,225.134598272,225.134598272,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.3505221431762147,-0.39431257246439316,-0.4070818593901468,-0.5322479256781192,-0.5337941005954644,0.020469469837553742,-0.20027597812886253,0.5168416100746852,0.8392742931862648,0.14992261411793595,-0.2229814772157102,-0.2839975980938792,Mexico,155,174.063486147,225.134598272,225.134598272,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,-0.7978485477927094,-1.0627523964075727,-1.2538184170869728,-1.5284329701318191,-1.529844157486836,-1.857599901159222,-1.9326947724200465,-2.2760890222159404,-2.2171559621897257,-2.404658037353024,-2.8511898636070665,-2.7954259397408094,Mexico,155,174.063486147,225.134598272,225.134598272,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,-0.23924176644474218,-0.2791743499563177,-0.5370751042004156,-0.4527715650069297,-0.5670856754990464,-0.13217151192346302,-1.2891398809166874,-1.4814770278543,-0.522283391109164,0.6860625536597771,1.2101044191644619,1.3164011396902489,Mexico,155,174.063486147,225.134598272,225.134598272,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.9607647065775623,0.6376116566999743,0.4638387112251774,-0.1618142206587108,-0.8073687140750245,-1.3886356935287705,-2.434277615795657,-3.352907733289245,-3.031665900000959,-2.4772129106974203,-0.9457272925867717,-0.9088143465968993,Mexico,155,174.063486147,225.134598272,225.134598272,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,-0.9411187918569619,-0.9000704244478945,-0.46771437855502374,-0.7369681099158258,-0.8344572499924287,-0.9714382022436742,-1.1155947365170784,-2.081702755527263,-2.179401741282151,-2.6897595929681968,-2.7521267827130123,-2.923691887502783,Mexico,155,174.063486147,225.134598272,225.134598272,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,-2.786257143512379,-2.8519025241891214,-2.911092870024617,-2.975466258764509,-2.6762130741274985,-1.7934208791992252,-1.2475998279757208,-0.6572855885711146,-0.6827883878206067,-0.8351775318342374,-0.9380601479183502,-1.105767364665117,Mexico,155,174.063486147,225.134598272,225.134598272,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,-1.4580389137438974,-1.57509230083697,-1.8268330268627326,-1.8896844155060413,-2.1754872604737097,-2.1687122696960057,-2.6299527633739443,-1.3174647425744614,-0.4709539563824641,-0.3304251190679984,-0.4610585845308219,-0.7955288705797035,Mexico,155,174.063486147,225.134598272,225.134598272,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
