date_year,nombre_estado,anomaly_tmmx_mean
1996-06-30,Durango,1.1402868553170198
1996-06-30,Guanajuato,0.7171349310872209
1996-06-30,Guerrero,0.584999635753261
1996-06-30,Hidalgo,0.8640196262368709
1996-06-30,Jalisco,0.7736365620506147
1996-06-30,Estado de México,0.7253124564412606
1996-06-30,Michoacán,0.7780594125315106
1996-06-30,Morelos,0.5617180128915862
1996-06-30,Nayarit,0.9429640382708938
1996-06-30,Nuevo León,1.327989541100292
1996-06-30,Oaxaca,0.3848684324139803
1996-06-30,Puebla,0.666787016240398
1996-06-30,Querétaro,0.8831643483398017
1996-06-30,Quintana Roo,-0.2057394047645491
1996-06-30,San Luis Potosí,1.1434757880466782
1996-06-30,Sinaloa,1.2430953881641271
1996-06-30,Sonora,1.8452429958025207
1996-06-30,Tabasco,-0.0052172651242977
1996-06-30,Tamaulipas,1.2485412692067364
1996-06-30,Tlaxcala,0.6664204032964185
1996-06-30,Veracruz,0.6157727279096188
1996-06-30,Yucatán,-0.2741792077644243
1996-06-30,Zacatecas,1.132553778168529
1997-06-30,Aguascalientes,0.8802589206498849
1997-06-30,Baja California,0.8355619422011881
1997-06-30,Baja California Sur,1.1682766709475212
1997-06-30,Campeche,0.0259181914256115
1997-06-30,Coahuila,-0.1527909377693888
1997-06-30,Colima,0.9539838442179271
1997-06-30,Chiapas,0.5153222032393788
1997-06-30,Chihuahua,0.1493566741716926
1997-06-30,Ciudad de México,0.7763583128510729
1997-06-30,Durango,0.3801902609276271
1997-06-30,Guanajuato,0.7320535117447236
1997-06-30,Guerrero,0.7899311000922127
1997-06-30,Hidalgo,0.6922382493363137
1997-06-30,Jalisco,0.9599711067487768
1997-06-30,Estado de México,0.7610098628800399
1997-06-30,Michoacán,1.0040186939551397
1997-06-30,Morelos,0.6283223140720463
1997-06-30,Nayarit,0.945580897475734
1997-06-30,Nuevo León,0.2156127411802914
1997-06-30,Oaxaca,0.4788664906252777
1997-06-30,Puebla,0.5367146580711228
1997-06-30,Querétaro,0.7193374083074883
1997-06-30,Quintana Roo,0.1253244240004061
1997-06-30,San Luis Potosí,0.7897666823793363
1997-06-30,Sinaloa,0.7275952688299401
1997-06-30,Sonora,0.8371860833146316
1997-06-30,Tabasco,0.3346940959897793
1997-06-30,Tamaulipas,0.282748435145004
1997-06-30,Tlaxcala,0.5208985841066198
1997-06-30,Veracruz,0.4973224295929549
1997-06-30,Yucatán,-0.0104740480836866
1997-06-30,Zacatecas,0.7809260020188746
1998-06-30,Aguascalientes,1.8406863309119823
1998-06-30,Baja California,-0.3864747115049283
1998-06-30,Baja California Sur,1.2458782851731631
1998-06-30,Campeche,0.1552639954209825
1998-06-30,Coahuila,1.756763890913758
1998-06-30,Colima,0.8710543101647967
1998-06-30,Chiapas,0.8060447541233967
1998-06-30,Chihuahua,1.2054667022453296
1998-06-30,Ciudad de México,1.5182628095179154
1998-06-30,Durango,1.5333465976825842
1998-06-30,Guanajuato,1.5252181260597717
1998-06-30,Guerrero,1.2047456611333307
1998-06-30,Hidalgo,1.6244067575366472
1998-06-30,Jalisco,1.2597848852403497
1998-06-30,Estado de México,1.4726192269165264
1998-06-30,Michoacán,1.327461538056975
1998-06-30,Morelos,1.4134911492641165
1998-06-30,Nayarit,1.332675267999824
1998-06-30,Nuevo León,1.6476932270435336
1998-06-30,Oaxaca,1.1421537966396165
1998-06-30,Puebla,1.594139880766506
1998-06-30,Querétaro,1.5276583779767907
1998-06-30,Quintana Roo,0.1453398831534678
1998-06-30,San Luis Potosí,1.6923717018369735
1998-06-30,Sinaloa,1.3369343043781698
1998-06-30,Sonora,0.7226431062642529
1998-06-30,Tabasco,0.6564323823585781
1998-06-30,Tamaulipas,1.5650058078798808
1998-06-30,Tlaxcala,1.676164295111253
1998-06-30,Veracruz,1.4208744756274885
1998-06-30,Yucatán,-0.0483265997616679
1998-06-30,Zacatecas,1.796181051535459
1999-06-30,Aguascalientes,0.8726108669734957
1999-06-30,Baja California,-0.3785736581379937
1999-06-30,Baja California Sur,0.4128081445703756
1999-06-30,Campeche,-0.1639962858566596
1999-06-30,Coahuila,1.14845143696579
1999-06-30,Colima,0.437439049021447
1999-06-30,Chiapas,0.1946337299722488
1999-06-30,Chihuahua,0.8682876209329877
1999-06-30,Ciudad de México,0.7496378028869688
1999-06-30,Durango,0.7699475878622941
1999-06-30,Guanajuato,0.9790667764442772
1999-06-30,Guerrero,0.5405408973307537
1999-06-30,Hidalgo,0.9762197080828136
1999-06-30,Jalisco,0.6032915247463108
1999-06-30,Estado de México,0.8190830545573956
