date_year,nombre_estado,anomaly_pr_mean,anomaly_tmmx_mean,pdsi_mean
1960-06-30,Colima,-0.4636551256335404,-0.1454976875669746,-0.7052314071696083
1960-06-30,Chiapas,-0.0889069520592312,-0.2826871054289446,1.318507706167567
1960-06-30,Chihuahua,-0.1559237433927335,-0.1682122252191375,-1.2243809031867685
1960-06-30,Ciudad de México,-0.3752356563802323,0.7231409769007251,-2.1100312980743725
1960-06-30,Durango,-0.3393026296004739,0.2332779398301388,-1.3925663886391593
1960-06-30,Guanajuato,-0.4053910724774366,0.4836190810908065,-1.415030119092762
1960-06-30,Guerrero,-0.4466990607039064,0.511212535493976,0.3262965881360469
1960-06-30,Hidalgo,-0.254363690391675,0.6886573635114013,-2.950442160103256
1960-06-30,Jalisco,-0.4280675226442981,0.0797870469632221,-1.84769460505973
1960-06-30,Estado de México,-0.4017618565787422,0.7683550772658215,-1.836436342814077
